serial,title,original_name,filename,location,type,affiliation,region_bucket,hiring_priority,website
128,St. Xavier's College,"St. Xavier's College, Kolkata",st-xavier-s-college.md,"Park Street, Kolkata district, West Bengal",General/Professional Degree College,Information to be updated,Kolkata and outskirts,High,https://sxccal.edu
129,Surendranath College,Surendranath College,surendranath-college.md,"M.G. Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://surendranathcollege.ac.in
130,Surendranath College for Women,Surendranath College for Women,surendranath-college-for-women.md,"M.G. Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.sncwcal.ac.in
131,Surendranath Evening College,Surendranath Evening College,surendranath-evening-college.md,"M.G. Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.snec.edu.in
132,Tara Devi Harak Chand Kankaria Jain College,Tara Devi Harak Chand Kankaria Jain College,tara-devi-harak-chand-kankaria-jain-college.md,"Cossipore, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.thkjaincollege.ac.in
133,Techno India University,Techno India University,techno-india-university.md,"Salt Lake Sector V, Kolkata district, West Bengal",Private University,Autonomous,Kolkata and outskirts,High,https://www.technoindiauniversity.ac.in
134,The Bhawanipur Education Society College,The Bhawanipur Education Society College,the-bhawanipur-education-society-college.md,"Lala Lajpat Rai Sarani, Kolkata district, West Bengal",General/Professional Degree College,Information to be updated,Kolkata and outskirts,High,https://www.thebges.edu.in
135,The Heritage College,The Heritage College,the-heritage-college.md,"Anandapur, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.thc.edu.in
136,Umesh Chandra College,Umesh Chandra College,umesh-chandra-college.md,"Surya Sen Street, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://umeschandracollege.ac.in
137,University of Calcutta,University of Calcutta,university-of-calcutta.md,"College Street, Kolkata district, West Bengal",University,Autonomous,Kolkata and outskirts,Medium,https://www.caluniv.ac.in
138,Victoria Institution (College),Victoria Institution (College),victoria-institution-college.md,"A.P.C. Road, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.victoriacollege.co.in
139,Vidyasagar College,Vidyasagar College,vidyasagar-college.md,"Sankar Ghosh Lane, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.vidyasagarcollege.edu.in
140,Vidyasagar College for Women,Vidyasagar College for Women,vidyasagar-college-for-women.md,"Sankar Ghosh Lane, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://vcfw.org
141,Vidyasagar Metropolitan College,Vidyasagar Metropolitan College,vidyasagar-metropolitan-college.md,"Sankar Ghosh Lane / Shibnarayan Das Lane, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.vec.ac.in
142,Viharilal College of Home & Social Sciences,Viharilal College of Home & Social Sciences,viharilal-college-of-home-and-social-sciences.md,"Alipore, Kolkata district, West Bengal",University College,Autonomous,Kolkata and outskirts,Medium,https://www.caluniv.ac.in
143,Vijaygarh Jyotish Ray College,Vijaygarh Jyotish Ray College,vijaygarh-jyotish-ray-college.md,"Jadavpur, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.vijaygarhjrcollege.com
144,Women's Christian College,Women's Christian College,women-s-christian-college.md,"Greek Church Row, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://womenschristiancollege.net
145,"Women's College, Calcutta","Women's College, Calcutta",women-s-college-calcutta.md,"Khirode Vidyavinode Avenue, Kolkata district, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://womenscollegekolkata.ac.in
146,Aliah University,Aliah University,aliah-university.md,"New Town / Park Circus / Taltala, Kolkata district / New Town, West Bengal",University,Autonomous,Kolkata and outskirts,Medium,https://aliah.ac.in
147,IIDE - The Digital Business School,IIDE - The Digital Business School,iide-the-digital-business-school.md,"Online / India-wide; Kolkata candidates possible, Kolkata hiring source, West Bengal",Digital Marketing Training Institute,Information to be updated,Kolkata and outskirts,High,https://iide.co
148,Adamas University,Adamas University,adamas-university.md,"Barasat / Adamas Knowledge City, Kolkata, West Bengal",Private University,Autonomous,Kolkata and outskirts,High,https://adamasuniversity.ac.in
149,Bengal Institute of Technology,"Bengal Institute of Technology (BIT), Kolkata",bengal-institute-of-technology.md,"Tech Town / Bantala / Basanti Highway, Kolkata, West Bengal",Engineering College,Information to be updated,Kolkata and outskirts,Very High,https://www.bitcollege.in
150,Brainware University,Brainware University,brainware-university.md,"Barasat / Salt Lake campus, Kolkata, West Bengal",Private University,Autonomous,Kolkata and outskirts,Very High,https://www.brainwareuniversity.ac.in
151,Budge Budge Institute of Technology,Budge Budge Institute of Technology (BBIT),budge-budge-institute-of-technology.md,"Budge Budge / Nischintapur, Kolkata, West Bengal",Engineering + MBA + Polytechnic College,Information to be updated,Kolkata and outskirts,Very High,https://www.bbit.edu.in
152,Calcutta Business School,Calcutta Business School,calcutta-business-school.md,"Bishnupur / Joka metro side, Kolkata, West Bengal",PGDM / Business School,Information to be updated,Kolkata and outskirts,High,https://calcuttabusinessschool.org.in
153,Camellia Institute of Technology,Camellia Institute of Technology,camellia-institute-of-technology.md,"Madhyamgram / Badu Road, Kolkata, West Bengal",Engineering College,Information to be updated,Kolkata and outskirts,High,https://camelliait.ac.in
154,Elitte College of Engineering,Elitte College of Engineering,elitte-college-of-engineering.md,"Sodepur / Kolkata, West Bengal",Engineering College,Information to be updated,Kolkata and outskirts,Medium,https://ece.ac.in
155,Future Business School,Future Business School,future-business-school.md,"Narendrapur / Sonarpur, Kolkata, West Bengal",MBA / BBA Business School,Information to be updated,Kolkata and outskirts,High,https://futureeducation.in/fbs/
156,Future Institute of Engineering and Management,Future Institute of Engineering and Management (FIEM),future-institute-of-engineering-and-management.md,"Narendrapur / Sonarpur, Kolkata, West Bengal",Engineering + Management College,Information to be updated,Kolkata and outskirts,Very High,https://futureeducation.in/fiem/
157,Globsyn Business School,Globsyn Business School,globsyn-business-school.md,"Sector V office / Bishnupur campus, Kolkata, West Bengal",MBA / PGDM Business School,Information to be updated,Kolkata and outskirts,High,https://www.globsyn.edu.in
158,Guru Nanak Institute of Technology,Guru Nanak Institute of Technology (GNIT),guru-nanak-institute-of-technology.md,"Sodepur / Panihati, Kolkata, West Bengal",Engineering College,Information to be updated,Kolkata and outskirts,Very High,https://gnit.ac.in
159,Heritage Business School,Heritage Business School,heritage-business-school.md,"Anandapur / East Kolkata Township, Kolkata, West Bengal",MBA / Business School,Information to be updated,Kolkata and outskirts,High,https://hbs.edu.in
160,Institute of Engineering & Management,Institute of Engineering & Management (IEM),institute-of-engineering-and-management-a.md,"Salt Lake Sector V, Kolkata, West Bengal",Engineering / Management College,Information to be updated,Kolkata and outskirts,Medium,https://iem.edu.in
161,JIS University,JIS University,jis-university.md,"Agarpara, Kolkata, West Bengal",Private University,Autonomous,Kolkata and outskirts,High,https://www.jisuniversity.ac.in
162,"Maulana Abul Kalam Azad University of Technology, West Bengal","Maulana Abul Kalam Azad University of Technology, West Bengal",maulana-abul-kalam-azad-university-of-technology-west-bengal.md,"Salt Lake, Kolkata, West Bengal",Technical University,Autonomous,Kolkata and outskirts,Medium,https://makautwb.ac.in
163,Meghnad Saha Institute of Technology,Meghnad Saha Institute of Technology (MSIT),meghnad-saha-institute-of-technology.md,"Ruby / Uchhepota / Nazirabad, Kolkata, West Bengal",Engineering College,Information to be updated,Kolkata and outskirts,High,https://www.msit.edu.in
164,Netaji Subhash Engineering College,Netaji Subhash Engineering College (NSEC),netaji-subhash-engineering-college.md,"Garia / Panchpota, Kolkata, West Bengal",Engineering + Management College,Information to be updated,Kolkata and outskirts,High,https://www.nsec.ac.in
165,Praxis Business School,Praxis Business School,praxis-business-school.md,"Rasapunja / Joka side, Kolkata, West Bengal",PGDM / Business School,Information to be updated,Kolkata and outskirts,High,https://praxis.ac.in
166,Regent Education & Research Foundation Group of Institutions,Regent Education & Research Foundation Group of Institutions,regent-education-and-research-foundation-group-of-institutions.md,"Barrackpore / Sewli Telini Para, Kolkata, West Bengal",Engineering + Management Group,Information to be updated,Kolkata and outskirts,High,https://www.regent.ac.in
167,Seven Boats Academy,Seven Boats Academy,seven-boats-academy.md,"Nagerbazar / Bhowanipore / Khardah, Kolkata, West Bengal",Digital Marketing Training Institute,Information to be updated,Kolkata and outskirts,Very High,https://www.7boats.com/academy/
168,Sister Nivedita University,Sister Nivedita University,sister-nivedita-university.md,"New Town, Kolkata, West Bengal",Private University,Autonomous,Kolkata and outskirts,High,https://www.snuniv.ac.in
169,Techno Main Salt Lake,Techno Main Salt Lake,techno-main-salt-lake.md,"Salt Lake Sector V, Kolkata, West Bengal",Engineering / Management College,Information to be updated,Kolkata and outskirts,High,https://www.ticollege.ac.in
170,University of Engineering & Management,"University of Engineering & Management (UEM), Kolkata",university-of-engineering-and-management.md,"New Town / Rajarhat, Kolkata, West Bengal",Private University - Engineering and Management,Autonomous,Kolkata and outskirts,High,https://uem.edu.in/uem-kolkata/
171,MCKV Institute of Engineering,MCKV Institute of Engineering,mckv-institute-of-engineering.md,"Liluah / Howrah, Kolkata metro / Howrah, West Bengal",Engineering College,Information to be updated,Kolkata and outskirts,High,https://www.mckvie.edu.in
172,Seacom Engineering College,Seacom Engineering College,seacom-engineering-college.md,"Sankrail / Howrah, Kolkata metro / Howrah, West Bengal",Engineering + Management College,Information to be updated,Kolkata and outskirts,High,https://seacomengineering.org
173,Swami Vivekananda Institute of Science and Technology,Swami Vivekananda Institute of Science and Technology (SVIST),swami-vivekananda-institute-of-science-and-technology.md,"Dakshin Gobindapur, Sonarpur, Kolkata metro / South 24 Parganas, West Bengal",Engineering / Management / Diploma College,Information to be updated,Kolkata and outskirts,Very High,https://svist.org/
174,Rabin Mukherjee College,Rabin Mukherjee College,rabin-mukherjee-college.md,"Parnasree / Behala, Kolkata postal, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://rabinmukherjeecollege.ac.in
175,Prasanta Chandra Mahalanobis Mahavidyalaya,Prasanta Chandra Mahalanobis Mahavidyalaya,prasanta-chandra-mahalanobis-mahavidyalaya.md,"Bon-Hooghly / B.T. Road, Kolkata postal / North 24 Parganas border, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://pcmm.edu.in
176,Sarojini Naidu College for Women,Sarojini Naidu College for Women,sarojini-naidu-college-for-women.md,"Dum Dum / Jessore Road, Kolkata postal / North 24 Parganas border, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.sncwgs.ac.in
177,Behala College,Behala College,behala-college.md,"Behala, Kolkata postal / South 24 Parganas section, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.behalacollege.in
178,Dinabandhu Andrews College,Dinabandhu Andrews College,dinabandhu-andrews-college.md,"Garia, Kolkata postal / South 24 Parganas section, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.dacollege.org
179,Harimohan Ghose College,Harimohan Ghose College,harimohan-ghose-college.md,"Garden Reach, Kolkata postal / South 24 Parganas section, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://www.harimohanghosecollege.ac.in
180,K.K. Das College,K.K. Das College,k-k-das-college.md,"Garia / Patuli, Kolkata postal / South 24 Parganas section, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://kkdascollege.ac.in
181,Kishore Bharati Bhagini Nivedita College,Kishore Bharati Bhagini Nivedita College,kishore-bharati-bhagini-nivedita-college.md,"Behala, Kolkata postal / South 24 Parganas section, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://kbbnc.edu.in
182,Matiaburj College,Matiaburj College,matiaburj-college.md,"Garden Reach, Kolkata postal / South 24 Parganas section, West Bengal",General Degree College,Information to be updated,Kolkata and outskirts,Medium,https://matiaburjcollege.ac.in
183,Al Ameen Memorial Minority College (Self-Financed),Al Ameen Memorial Minority College (Self-Financed),al-ameen-memorial-minority-college-self-financed.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
184,Bankim Sardar College,Bankim Sardar College,bankim-sardar-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
185,Baruipur College,Baruipur College,baruipur-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
186,Bhangar Mahavidyalaya,Bhangar Mahavidyalaya,bhangar-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
187,Bikash Bharati Law College (Self-Financed),Bikash Bharati Law College (Self-Financed),bikash-bharati-law-college-self-financed.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
188,Debendranath Mondal Institute,Debendranath Mondal Institute,debendranath-mondal-institute.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
189,Dhola Mahavidyalaya,Dhola Mahavidyalaya,dhola-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
190,Dhrubachand Halder College,Dhrubachand Halder College,dhrubachand-halder-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
191,Fakir Chand College,Fakir Chand College,fakir-chand-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
192,Gour Mohan Sachin Mandal Mahavidyalaya,Gour Mohan Sachin Mandal Mahavidyalaya,gour-mohan-sachin-mandal-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
193,Jibantala Rokeya Mahavidyalaya,Jibantala Rokeya Mahavidyalaya,jibantala-rokeya-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
194,Jyotirmoy School of Law (Self-Financed),Jyotirmoy School of Law (Self-Financed),jyotirmoy-school-of-law-self-financed.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
195,Kultali Dr. B. R. Ambedkar College,Kultali Dr. B. R. Ambedkar College,kultali-dr-b-r-ambedkar-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
196,L.J.D. College - Falta,L.J.D. College - Falta,l-j-d-college-falta.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
197,L.J.D. Law College - Falta (Self-Financed),L.J.D. Law College - Falta (Self-Financed),l-j-d-law-college-falta-self-financed.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
198,Magrahat College,Magrahat College,magrahat-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
199,Metiaburj College,Metiaburj College,metiaburj-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
200,Panchur College,Panchur College,panchur-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
201,Patharpratima Mahavidyalaya,Patharpratima Mahavidyalaya,patharpratima-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
202,Rabindra Shiksha Sammilani Law College (Self-Financed),Rabindra Shiksha Sammilani Law College (Self-Financed),rabindra-shiksha-sammilani-law-college-self-financed.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
203,Raidighi College,Raidighi College,raidighi-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
204,Ramakrishna Mission Residential College,Ramakrishna Mission Residential College,ramakrishna-mission-residential-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
205,Sadhan Chandra Mahavidyalaya,Sadhan Chandra Mahavidyalaya,sadhan-chandra-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
206,Sagar Mahavidyalaya,Sagar Mahavidyalaya,sagar-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
207,Saheed Anurup Chandra Mahavidyalaya,Saheed Anurup Chandra Mahavidyalaya,saheed-anurup-chandra-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
208,Sammilani Mahavidyalaya,Sammilani Mahavidyalaya,sammilani-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
209,Sarsuna College,Sarsuna College,sarsuna-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
210,Shirakole Mahavidyalaya,Shirakole Mahavidyalaya,shirakole-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
211,Shishuram Das College,Shishuram Das College,shishuram-das-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
212,Sibani Mandal Mahavidyalaya,Sibani Mandal Mahavidyalaya,sibani-mandal-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
213,Sonarpur Mahavidyalaya,Sonarpur Mahavidyalaya,sonarpur-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
214,Sukanta College,Sukanta College,sukanta-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
215,Sundarban Hazi Desarat College,Sundarban Hazi Desarat College,sundarban-hazi-desarat-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
216,Sundarban Mahavidyalaya,Sundarban Mahavidyalaya,sundarban-mahavidyalaya.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
217,Sushil Kar College,Sushil Kar College,sushil-kar-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
218,Vidyanagar College,Vidyanagar College,vidyanagar-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
219,Vivekananda College,Vivekananda College,vivekananda-college.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
220,Vivekananda College for Women,Vivekananda College for Women,vivekananda-college-for-women.md,"South 24 Parganas, West Bengal",College / Affiliated Institution,University of Calcutta affiliated colleges,Kolkata and outskirts,Not assessed,
221,Akui Kamalabala Women's College,Akui Kamalabala Women's College,akui-kamalabala-women-s-college.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
222,Bankura Christian College,Bankura Christian College,bankura-christian-college.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
223,Bankura Sammilani College,Bankura Sammilani College,bankura-sammilani-college.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
224,Bankura Zilla Saradamani Mahila Mahavidyapith,Bankura Zilla Saradamani Mahila Mahavidyapith,bankura-zilla-saradamani-mahila-mahavidyapith.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
225,Barjora College,Barjora College,barjora-college.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
226,Birsha Munda Memorial College,Birsha Munda Memorial College,birsha-munda-memorial-college.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
227,Chatra Ramai Pandit Mahavidyalaya,Chatra Ramai Pandit Mahavidyalaya,chatra-ramai-pandit-mahavidyalaya.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
228,Chhatna Chandidas Mahavidyalaya,Chhatna Chandidas Mahavidyalaya,chhatna-chandidas-mahavidyalaya.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
229,Gobindaprasad Mahavidyalaya,Gobindaprasad Mahavidyalaya,gobindaprasad-mahavidyalaya.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
230,"Government General Degree College, Ranibandh","Government General Degree College, Ranibandh",government-general-degree-college-ranibandh.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
231,Indas Mahavidyalaya,Indas Mahavidyalaya,indas-mahavidyalaya.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
232,Jamini Roy College,Jamini Roy College,jamini-roy-college.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
233,Kabi Jagadram Roy Government General Degree College,Kabi Jagadram Roy Government General Degree College,kabi-jagadram-roy-government-general-degree-college.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
234,Khatra Adibasi Mahavidyalaya,Khatra Adibasi Mahavidyalaya,khatra-adibasi-mahavidyalaya.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
235,Onda Thana Mahavidyalaya,Onda Thana Mahavidyalaya,onda-thana-mahavidyalaya.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
236,Panchmura Mahavidyalaya,Panchmura Mahavidyalaya,panchmura-mahavidyalaya.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
237,Pandit Raghunath Murmu Smriti Mahavidyalaya,Pandit Raghunath Murmu Smriti Mahavidyalaya,pandit-raghunath-murmu-smriti-mahavidyalaya.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
238,Patrasayer Mahavidyalaya,Patrasayer Mahavidyalaya,patrasayer-mahavidyalaya.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
239,Raipur Block Mahavidyalaya,Raipur Block Mahavidyalaya,raipur-block-mahavidyalaya.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
240,Ramananda College,Ramananda College,ramananda-college.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
241,Saldiha College,Saldiha College,saldiha-college.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
242,Saltora Netaji Centenary College,Saltora Netaji Centenary College,saltora-netaji-centenary-college.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
243,Sonamukhi College,Sonamukhi College,sonamukhi-college.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
244,Swami Dhananjoy Das Kathiababa Mahavidyalaya,Swami Dhananjoy Das Kathiababa Mahavidyalaya,swami-dhananjoy-das-kathiababa-mahavidyalaya.md,"Bankura University / Bankura region, West Bengal",College / Affiliated Institution,Bankura University / Bankura region,Rest of West Bengal,Not assessed,
245,Acharya Brojendra Nath Seal College,Acharya Brojendra Nath Seal College,acharya-brojendra-nath-seal-college.md,"Cooch Behar Panchanan Barma University / Cooch Behar region, West Bengal",College / Affiliated Institution,Cooch Behar Panchanan Barma University / Cooch Behar region,Rest of West Bengal,Not assessed,
246,Bakshirhat Mahavidyalaya,Bakshirhat Mahavidyalaya,bakshirhat-mahavidyalaya.md,"Cooch Behar Panchanan Barma University / Cooch Behar region, West Bengal",College / Affiliated Institution,Cooch Behar Panchanan Barma University / Cooch Behar region,Rest of West Bengal,Not assessed,
247,Baneswar Sarathibala Mahavidyalaya,Baneswar Sarathibala Mahavidyalaya,baneswar-sarathibala-mahavidyalaya.md,"Cooch Behar Panchanan Barma University / Cooch Behar region, West Bengal",College / Affiliated Institution,Cooch Behar Panchanan Barma University / Cooch Behar region,Rest of West Bengal,Not assessed,
248,Cooch Behar College,Cooch Behar College,cooch-behar-college.md,"Cooch Behar Panchanan Barma University / Cooch Behar region, West Bengal",College / Affiliated Institution,Cooch Behar Panchanan Barma University / Cooch Behar region,Rest of West Bengal,Not assessed,
249,Dewanhat Mahavidyalaya,Dewanhat Mahavidyalaya,dewanhat-mahavidyalaya.md,"Cooch Behar Panchanan Barma University / Cooch Behar region, West Bengal",College / Affiliated Institution,Cooch Behar Panchanan Barma University / Cooch Behar region,Rest of West Bengal,Not assessed,
250,Dinhata College,Dinhata College,dinhata-college.md,"Cooch Behar Panchanan Barma University / Cooch Behar region, West Bengal",College / Affiliated Institution,Cooch Behar Panchanan Barma University / Cooch Behar region,Rest of West Bengal,Not assessed,
251,Ghoksadanga Birendranath Mahavidyalaya,Ghoksadanga Birendranath Mahavidyalaya,ghoksadanga-birendranath-mahavidyalaya.md,"Cooch Behar Panchanan Barma University / Cooch Behar region, West Bengal",College / Affiliated Institution,Cooch Behar Panchanan Barma University / Cooch Behar region,Rest of West Bengal,Not assessed,
252,Government College of Physical Education for Women,Government College of Physical Education for Women,government-college-of-physical-education-for-women.md,"Cooch Behar Panchanan Barma University / Cooch Behar region, West Bengal",College / Affiliated Institution,Cooch Behar Panchanan Barma University / Cooch Behar region,Rest of West Bengal,Not assessed,
253,Madhusudan Hore Mahavidyalaya,Madhusudan Hore Mahavidyalaya,madhusudan-hore-mahavidyalaya.md,"Cooch Behar Panchanan Barma University / Cooch Behar region, West Bengal",College / Affiliated Institution,Cooch Behar Panchanan Barma University / Cooch Behar region,Rest of West Bengal,Not assessed,
